Web Search interest: patriots cheating
Worldwide; 2004 - present

Interest over time
Month,patriots cheating
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,97
2007-10,11
2007-11,13
2007-12,12
2008-01,15
2008-02,36
2008-03,3
2008-04,3
2008-05,5
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,2
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,1
2009-10,1
2009-11,2
2009-12,2
2010-01,2
2010-02,1
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,2
2010-10,2
2010-11,3
2010-12,5
2011-01,4
2011-02,1
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,1
2011-09,3
2011-10,1
2011-11,2
2011-12,1
2012-01,11
2012-02,10
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,2
2012-10,1
2012-11,1
2012-12,3
2013-01,7
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,2
2013-10,2
2013-11,3
2013-12,7
2014-01,5
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,2
2014-09,2
2014-10,2
2014-11,3
2014-12,2
2015-01,100


Top regions for patriots cheating
Region,patriots cheating
United States,100


Top cities for patriots cheating
City,patriots cheating
New York (United States),100



Top searches for patriots cheating
patriots cheating scandal,100
the patriots cheating,90
patriots caught cheating,55
patriots coach cheating,30
patriots coach,30
patriots and cheating,30
patriots cheating again,30
patriots cheat,25



Rising searches for patriots cheating
patriots and cheating,Breakout
patriots caught cheating,Breakout
patriots cheat,Breakout
patriots cheating again,Breakout
patriots cheating scandal,Breakout
the patriots cheating,Breakout



